SOC,Data_Point,Test_Time(s),Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg)
0.8,75975.21678321678,83688.7601015708,340.65367262775936,7.013986013986014,10.048951048951048,0.006891920849993512,3.944036672165344,0.8072478956029521,1.207248020848478,3.158833932749168,4.256701887086786,-7.750557023637857e-05,0.0,0.0,0.0,0.0
0.81,75567.1043272904,83275.87575090732,3570.3605539012387,7.990206292977704,9.502465791484337,-7.082212134401873e-05,3.9440079704460076,0.8158149017564537,1.1936629727910135,3.1964465759139578,4.208195847905471,-1.471422929541431e-06,0.0,0.0,0.0,0.0
0.82,76027.05594405594,83740.19726036656,336.70862718288834,7.013986013986014,10.055944055944057,0.00688941120267748,3.952814000469821,0.8273880454783681,1.187406781422426,3.2434128451316515,4.18332074490904,0.00010836404152751829,0.0,0.0,0.0,0.0
0.83,75098.94405594406,82802.60457523541,340.3483457372069,6.986013986013986,9.944055944055943,-0.007079948912133704,3.964426814259349,0.8260776300501192,1.1660416578189585,3.2412046557996557,4.1077044663698965,3.2966720816268994e-05,0.0,0.0,0.0,0.0
0.84,75563.0,83271.40314928872,338.53071794259637,7.0,10.0,-7.95873118118501e-05,3.9796113229133714,0.8417413164110731,1.161713753664065,3.3056298565918283,4.089711466125652,2.8622944586792253e-05,0.0,0.0,0.0,0.0
0.85,66510.16,74126.01708045033,345.68854254424815,6.728,8.912,-0.13607155513763428,3.9570953617095945,0.7370395248589859,1.0381077156094312,2.897410784314996,3.666332739792541,-5.429596873000264e-06,0.0,0.0,0.0,0.0
0.86,8954.0,15981.364189132399,346.60862143870145,5.0,2.0,-0.999776648803496,3.7498711565850487,0.01614623159908,0.2962158760186507,0.067823668715209,1.1382869097774033,-0.00014882087342696866,0.0,0.0,0.0,0.0
0.87,8882.5,15909.118779886718,274.36321220363754,5.0,2.0,-0.9997804843717151,3.761775917477078,0.01614623159908,0.2761498339343182,0.067823668715209,1.0629225681743586,-0.00015558030807167396,0.0,0.0,0.0,0.0
0.88,8811.0,15836.826901231148,202.07133353766085,5.0,2.0,-0.9997867773955976,3.7740866466307303,0.01614623159908,0.2560740450456292,0.067823668715209,0.9872797365669727,-0.00016160337373279823,0.0,0.0,0.0,0.0
0.89,8740.0,15765.140105912547,130.3845382169432,5.0,2.0,-0.9997614571745966,3.7870925648111693,0.01614623159908,0.23616736300720706,0.067823668715209,0.9120228304400685,-0.00016936516691766626,0.0,0.0,0.0,0.0
0.9,8669.0,15693.425354351548,58.66978664358866,5.0,2.0,-0.9997741177048481,3.802762233035665,0.01614623159908,0.21624842408402017,0.067823668715209,0.8364413282676046,-0.0002697442246692806,0.0,0.0,0.0,0.0
0.91,5034.5,12021.603234775155,3569.8718331272607,5.989997221450403,1.0030564045568213,-0.01000083254654893,4.046746913510318,0.01614623159908,0.19992088453857745,0.067823668715209,0.7742045768060228,2.3291258360231095e-05,0.0,0.0,0.0,0.0
0.92,1400.0,8349.105143197947,634.3897746076029,5.0,1.0,-0.999779180741646,3.8227116490753605,0.01614623159908,0.17617851404843402,0.067823668715209,0.6836082349126436,-0.0001552138493140556,0.0,0.0,0.0,0.0
0.93,1328.5,8276.900948260574,562.1855796768787,5.0,1.0,-0.9997829786605306,3.8351262973414526,0.01614623159908,0.15612536008296196,0.067823668715209,0.6068262598789579,-0.0001582041214634147,0.0,0.0,0.0,0.0
0.94,1257.0,8204.664911594107,489.94954302084767,5.0,1.0,-0.9997741151863421,3.8476758204715353,0.01614623159908,0.1360649382807487,0.067823668715209,0.5297666488467696,-0.00016479760438735058,0.0,0.0,0.0,0.0
0.95,1186.0,8133.029395131673,418.3140265488122,5.0,1.0,-0.9997867773955976,3.8603188185624675,0.01614623159908,0.1161687003460939,0.067823668715209,0.45308690792525375,-0.00016680387612005932,0.0,0.0,0.0,0.0
0.96,1114.5,8060.80891599493,346.0935474225819,5.0,1.0,-0.9997729890876346,3.873278041680654,0.01614623159908,0.09611331780945852,0.067823668715209,0.37553710184669997,-0.0001673875786865311,0.0,0.0,0.0,0.0
0.97,1043.0,7988.572430974941,273.8570623844558,5.0,1.0,-0.9997842462969498,3.8865041464147434,0.01614623159908,0.07605295867681479,0.067823668715209,0.29770589913121975,-0.00017798942362915883,0.0,0.0,0.0,0.0
0.98,972.0,7916.8180790627375,202.10271047754642,5.0,1.0,-0.9997665218903985,3.9000875479738477,0.01614623159908,0.0561246252345266,0.067823668715209,0.2201195645176907,-0.0001854901143610412,0.0,0.0,0.0,0.0
0.99,454.6442307692308,4435.42221469116,3136.0410425674177,4.085336538461538,1.0,-0.10777170623007876,4.149173738578191,0.016075343996423557,0.0031673905719389627,0.06752589839960249,0.012449852075633,-3.5487706843294014e-05,0.0,0.0,0.0,0.0
1.0,579.3461538461538,5429.49522326616,73.534086281487,4.259615384615385,1.0,-0.648682156434426,4.013749140959519,0.012471354419202597,0.011169525067062895,0.052387013190408914,0.04400436489861384,-0.0001887108934310023,0.0,0.0,0.0,0.0
